sourcе,stеm,last stem vowel,verb class,stem0,stem1,stem2,stеm tуpе,stem notes,principlе pаrts,unaccented principle parts,infinitivе,prеsеncе,futurе,аorist,impеrаtivе,mаsdаr,аgrееmеnt_slot,vеrb formаtion,verb formation stеm,pos_verb formation stem,vаriаtion,cаusаtivе,rеduplicаtion,аnothеr stеm rеduplicаtion,-ахъд,-д,rеduplicаtеd + д,rеduplicаtеd + р > д,rеduplicаtеd + л > д,rеduplicаtеd + м > д,-гъ,-х,-ар,-анхъ,-ар-д,-д-ар,-олд,и > е,у > е,-тI,dеfinition,id_dеfinition,X,Y,X2,Y2,lability,transitivity,light verb,context,context_ru,example_source,mеаning_ru,rеfеrеncе,notеs,commеnts,context2,еxаmplе_sourcе
"б/агъáр/изе (-ула, -ила, -уна, -е) 1) двигаться, передвигаться; приходить, прийти в движение; вагъаричІого вахъун чІезе стоять не двигаясь 2) двигаться, двинуться; страгиваться, трогаться, тронуться; отправляться, отправиться; гІиял рехъен магІарде ~ана отара овец двинулась в горы; дов хъутаналде вагъарана он отправился на зимние пастбища 3) сдвигаться, двинуться, (с)тронуться (с места); вагъаруге! ни с места! (к мужчине); поезд ~ана поезд стронулся (с места); унтарасда вагъаризе кІолеб гьечІо больной не в состоянии двигаться (букв. не может двигаться); чІаралъуса ягъаричІо яс девочка не сдвинулась с места; кирего рагъаруге, гьанир чІа не ходите никуда, оставайтесь здесь 4) (по)шевелиться, (по)шевельнуться; трястись, стрясаться, колебаться, качаться, шататься, шелохнуться; ~араб гІосое дару — бахъи посл. шатающемуся зубу одно лекарство — выдернуть его; мугъ унтун вагъаризе виччалев гьечо боль в спине не даёт даже шевельнуться; лъелъ килищ ~ичІо долъ палец о палец не ударила; букв. даже пальцем в воде не шевельнула (хотя бы мыть посуду) 5) волноваться, приходить, прийти в волнение; ралъад ~ана море волнуется 6) появляться, появиться; возникать, возникнуть; гьури ~ана поднялся ветер; некІо мех-мехалда вабаъ ~улаан в старину периодически возникала холера 7) приходить, прийти в состояние течки; быть в периоде течки (о животном) 8) помешивать, (по)мешать, перемешивать что-л.; ворошить (напр. зерно при поджаривании на помол); болтать; карш ~изе мешать кашу; лажбар ~изе перемешивать краску; хІарщ ~изе мешать раствор  дуниял (ракь) ~ана произошло землетрясение; рагъ-кьал ~ана разразилась война",б/агъáр,и,2,б/агъáр,б/агъáри,б/агъáру,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,,,,,б/агъáризаб,,,б/агъáрахъд,,,,,,б/агъáргъ,,,,,,,,,,"помешивать, (по)мешать, перемешивать что-л.; ворошить (напр. зерно при поджаривании на помол); болтать; карш ~изе мешать кашу; лажбар ~изе перемешивать краску; хІарщ ~изе мешать раствор  дуниял (ракь) ~ана произошло землетрясение; рагъ-кьал ~ана разразилась война",8,ABS,N/A,,,,,,ворошить (напр. зерно при поджаривании на помол),,Гимбатов М.М. Аварско-русский словарь. 2006.,помешивать,Gimbаtov 2006,,,,
"б/áгъизаб/изе (-ула, -ила, -уна, -е) натравливать, натравить кого-л. на кого-л.; стравить кого-л.; (по)сеять раздор; заставлять, заставить сражаться, драться; кІиго тухум цоцалъ ~изе (по)сеять раздор между двумя тухумами; гьаби рагъизаризе устроить собачий бой",б/áгъизаб,и,2,б/áгъизаб,б/áгъизаби,б/áгъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,causative,б/áгъ,verb,,,,,,,,,,,,,,,,,,,,,"натравливать, натравить кого-л. на кого-л.; стравить кого-л.; (по)сеять раздор; заставлять, заставить сражаться, драться; кІиго тухум цоцалъ ~изе (по)сеять раздор между двумя тухумами; гьаби рагъизаризе устроить собачий бой",1,ABS,N/A,,,,,,стравить кого-л.,,Гимбатов М.М. Аварско-русский словарь. 2006.,натравливать,Gimbаtov 2006,,,,
"б/áгъ/изе (-ула, -ила, -ана, -е) 1) драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала 2) сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались 3) бодаться; куйдул рагъулел руго бараны бодаются (друг с другом) 4) перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно 5) перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",б/áгъ,и,1,б/áгъ,б/áгъи,б/áгъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгъизаб,,,,,,,,,,,,,,,,,,,"драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала",1,N/A,ABS,,,,,,лъимер ~изе ругьун гьабуге не приучай ребёнка драться,,Гимбатов М.М. Аварско-русский словарь. 2006.,драться,Gimbаtov 2006,,,,
"б/áгъ/изе (-ула, -ила, -ана, -е) 1) драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала 2) сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались 3) бодаться; куйдул рагъулел руго бараны бодаются (друг с другом) 4) перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно 5) перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",б/áгъ,и,1,б/áгъ,б/áгъи,б/áгъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгъизаб,,,,,,,,,,,,,,,,,,,"сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались",2,ABS,GUN,,,,,,тушбабигун рагъизе воевать с врагами,,Гимбатов М.М. Аварско-русский словарь. 2006.,сражаться,Gimbаtov 2006,,,,
"б/áгъ/изе (-ула, -ила, -ана, -е) 1) драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала 2) сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались 3) бодаться; куйдул рагъулел руго бараны бодаются (друг с другом) 4) перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно 5) перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",б/áгъ,и,1,б/áгъ,б/áгъи,б/áгъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгъизаб,,,,,,,,,,,,,,,,,,,бодаться; куйдул рагъулел руго бараны бодаются (друг с другом),3,ABS,N/A,,,,,,куйдул рагъулел руго бараны бодаются (друг с другом),,Гимбатов М.М. Аварско-русский словарь. 2006.,бодаться,Gimbаtov 2006,,,,
"б/áгъ/изе (-ула, -ила, -ана, -е) 1) драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала 2) сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались 3) бодаться; куйдул рагъулел руго бараны бодаются (друг с другом) 4) перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно 5) перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",б/áгъ,и,1,б/áгъ,б/áгъи,б/áгъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгъизаб,,,,,,,,,,,,,,,,,,,"перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно",4,ABS,LOC,,,,,,гьури горда ~улеб буго ветер бьётся об окно,,Гимбатов М.М. Аварско-русский словарь. 2006.,перен. биться,Gimbаtov 2006,,,,
"б/áгъ/изе (-ула, -ила, -ана, -е) 1) драться; лъимер ~изе ругьун гьабуге не приучай ребёнка драться; ~изе тІамизе пустить в драку; наускивать; хІелеко ~изе тІамизе пустить петуха драться (во время петушиных боёв); ~улеб гьой камугеги, бекерулеб чу тІагІунгеги посл. да будет всегда собака-драчун и конь-скакун; букв. да не отсутствуют дерущаяся собака и скачущий конь; заруца вагъизе драться кулаками  бацІги циги ~улди, цараца би чІикІулди посл. волк с медведем подрались, а лисица [их] кровь полизала 2) сражаться, воевать c кем-чем-л., против кого-чего-л.; тушбабигун рагъизе воевать с врагами; фронталда нилъер рагъухъаби бахІарчилъиялда рагъана на фронте наши солдаты героически сражались 3) бодаться; куйдул рагъулел руго бараны бодаются (друг с другом) 4) перен. биться, ударяться (о переграду) — о ветре, о волне; гьури горда ~улеб буго ветер бьётся об окно 5) перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",б/áгъ,и,1,б/áгъ,б/áгъи,б/áгъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгъизаб,,,,,,,,,,,,,,,,,,,"перен. ныть, чуствовать сильные боли; басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",5,ERG,ABS,,,,,,"басрияб ругъун ~изе лъугьана старая рана начала ныть  гІинзуниб ~изе звенеть в ушах (о громком, оглушительном звуке)",,Гимбатов М.М. Аварско-русский словарь. 2006.,перен. ныть,Gimbаtov 2006,,,,
"б/áгьа-б/ихъ/изе (-ула, -ила, -ана, -е) (про)дырявиться, (про)худиться; ~араб бакІ прохудившееся место (напр. на одежде, на обуви)",б/áгьа-б/ихъ,и,1,б/áгьа-б/ихъ,б/áгьа-б/ихъи,б/áгьа-б/ихъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,2,,,,,,,,,,,,,,,,,,,,,,,,"(про)дырявиться, (про)худиться; ~араб бакІ прохудившееся место (напр. на одежде, на обуви)",1,ABS,N/A,,,,,,"~араб бакІ прохудившееся место (напр. на одежде, на обуви)",,Гимбатов М.М. Аварско-русский словарь. 2006.,продырявиться,Gimbаtov 2006,,,,
"багьáлъизаб/изе (-ула, -ила, -уна, -е) диал. понуд. см. хирáлъизабизе",багьáлъизаб,и,2,багьáлъизаб,багьáлъизаби,багьáлъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,багьáлъ,verb,,,,,,,,,,,,,,,,,,,,,диал. понуд. см. хирáлъизабизе,1,N/A,N/A,,,,,,,,,см. хирáлъизабизе,Gimbаtov 2006,диал.,,,
"багьáлъ/изе (-ула, -ила, -ана, -е) диал. см. хирáлъизе",багьáлъ,и,1,багьáлъ,багьáлъи,багьáлъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,багьáлъизаб,,,,,,,,,,,,,,,,,,,диал. см. хирáлъизе,1,N/A,N/A,,,,,,,,,см. хирáлъизе,Gimbаtov 2006,диал.,,,
"б/агь-б/áгьизаб/изе (-ула, -ила, -уна, -е) учащ. понуд. 1) продырявливать, продырявить; изрешетить; гулбуз ~изе изрешетить пулями 2) изнашивать до дыр (об одежде, об обуви); тІимугъ ~изе износить шубу до дыр",б/агь-б/áгьизаб,и,2,б/агь-б/áгьизаб,б/агь-б/áгьизаби,б/агь-б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,2,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"продырявливать, продырявить; изрешетить; гулбуз ~изе изрешетить пулями",1,N/A,ABS,,,,,,изрешетить,,Гимбатов М.М. Аварско-русский словарь. 2006.,продырявливать,Gimbаtov 2006,,,,
"б/агь-б/áгьизаб/изе (-ула, -ила, -уна, -е) учащ. понуд. 1) продырявливать, продырявить; изрешетить; гулбуз ~изе изрешетить пулями 2) изнашивать до дыр (об одежде, об обуви); тІимугъ ~изе износить шубу до дыр",б/агь-б/áгьизаб,и,2,б/агь-б/áгьизаб,б/агь-б/áгьизаби,б/агь-б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,2,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"изнашивать до дыр (об одежде, об обуви); тІимугъ ~изе износить шубу до дыр",2,N/A,ABS,,,,,,тІимугъ ~изе износить шубу до дыр,,Гимбатов М.М. Аварско-русский словарь. 2006.,изнашивать до дыр,Gimbаtov 2006,,,,
"б/агь-б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться; прохудиться 2) изнашиваться, износиться, проноситься до дыр (об одежде, об обуви); буртина ~ана бурка прохудилась; гІеретІ ~ун буго кувшин прохудился; таргьа ~ун буго торба продырявилась (во многих местах)",б/агь-б/áгь,и,1,б/агь-б/áгь,б/агь-б/áгьи,б/агь-б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,2,full reduplication,б/áгь,verb,,б/агь-б/áгьизаб,,,,,,,,,,,,,,,,,,,"продырявливаться, продырявиться; прохудиться",1,ABS,N/A,,,,,,прохудиться,,Гимбатов М.М. Аварско-русский словарь. 2006.,продырявливаться,Gimbаtov 2006,,,,
"б/агь-б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться; прохудиться 2) изнашиваться, износиться, проноситься до дыр (об одежде, об обуви); буртина ~ана бурка прохудилась; гІеретІ ~ун буго кувшин прохудился; таргьа ~ун буго торба продырявилась (во многих местах)",б/агь-б/áгь,и,1,б/агь-б/áгь,б/агь-б/áгьи,б/агь-б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,2,full reduplication,б/áгь,verb,,б/агь-б/áгьизаб,,,,,,,,,,,,,,,,,,,"изнашиваться, износиться, проноситься до дыр (об одежде, об обуви); буртина ~ана бурка прохудилась; гІеретІ ~ун буго кувшин прохудился; таргьа ~ун буго торба продырявилась (во многих местах)",2,ABS,N/A,,,,,,буртина ~ана бурка прохудилась,,Гимбатов М.М. Аварско-русский словарь. 2006.,изнашиваться,Gimbаtov 2006,,,,
"б/áгьизаб/изе (-ула, -ила, -уна, -е) понуд. 1) продырявливать, продырявить; прорывать, прорвать; (с)делать пробоину; къед ~изе прорывать, пробывать стену 2) изнашивать, износить, проносить до дыр; протирать, протереть до дыр; гурде ~изе проносить рубашку (или платье) до дыр 3) обнаруживать, обнаружить, открывать, открыть что-л.; наталкиваться, натолкнуться на что-л.; магІданалде ~изе натолкнуться на руду 4) обяснять, обяснить; выяснять, выяснить; разъяснять, рязъяснить; гьеб иш ~е дуца нижее объясни нам это [дело]; гьеб масъала нижеца ~уна этот вопрос мы выяснили",б/áгьизаб,и,2,б/áгьизаб,б/áгьизаби,б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"продырявливать, продырявить; прорывать, прорвать; (с)делать пробоину; къед ~изе прорывать, пробывать стену",1,N/A,ABS,,,,,,"прорывать, прорвать",,Гимбатов М.М. Аварско-русский словарь. 2006.,продырявливать,Gimbаtov 2006,,,,
"б/áгьизаб/изе (-ула, -ила, -уна, -е) понуд. 1) продырявливать, продырявить; прорывать, прорвать; (с)делать пробоину; къед ~изе прорывать, пробывать стену 2) изнашивать, износить, проносить до дыр; протирать, протереть до дыр; гурде ~изе проносить рубашку (или платье) до дыр 3) обнаруживать, обнаружить, открывать, открыть что-л.; наталкиваться, натолкнуться на что-л.; магІданалде ~изе натолкнуться на руду 4) обяснять, обяснить; выяснять, выяснить; разъяснять, рязъяснить; гьеб иш ~е дуца нижее объясни нам это [дело]; гьеб масъала нижеца ~уна этот вопрос мы выяснили",б/áгьизаб,и,2,б/áгьизаб,б/áгьизаби,б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"изнашивать, износить, проносить до дыр; протирать, протереть до дыр; гурде ~изе проносить рубашку (или платье) до дыр",2,N/A,ABS,,,,,,"протирать, протереть до дыр",,Гимбатов М.М. Аварско-русский словарь. 2006.,изнашивать,Gimbаtov 2006,,,,
"б/áгьизаб/изе (-ула, -ила, -уна, -е) понуд. 1) продырявливать, продырявить; прорывать, прорвать; (с)делать пробоину; къед ~изе прорывать, пробывать стену 2) изнашивать, износить, проносить до дыр; протирать, протереть до дыр; гурде ~изе проносить рубашку (или платье) до дыр 3) обнаруживать, обнаружить, открывать, открыть что-л.; наталкиваться, натолкнуться на что-л.; магІданалде ~изе натолкнуться на руду 4) обяснять, обяснить; выяснять, выяснить; разъяснять, рязъяснить; гьеб иш ~е дуца нижее объясни нам это [дело]; гьеб масъала нижеца ~уна этот вопрос мы выяснили",б/áгьизаб,и,2,б/áгьизаб,б/áгьизаби,б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"обнаруживать, обнаружить, открывать, открыть что-л.; наталкиваться, натолкнуться на что-л.; магІданалде ~изе натолкнуться на руду",3,N/A,SUPERLAT,,,,,,магІданалде ~изе,,Гимбатов М.М. Аварско-русский словарь. 2006.,обнаруживать,Gimbаtov 2006,,,,
"б/áгьизаб/изе (-ула, -ила, -уна, -е) понуд. 1) продырявливать, продырявить; прорывать, прорвать; (с)делать пробоину; къед ~изе прорывать, пробывать стену 2) изнашивать, износить, проносить до дыр; протирать, протереть до дыр; гурде ~изе проносить рубашку (или платье) до дыр 3) обнаруживать, обнаружить, открывать, открыть что-л.; наталкиваться, натолкнуться на что-л.; магІданалде ~изе натолкнуться на руду 4) обяснять, обяснить; выяснять, выяснить; разъяснять, рязъяснить; гьеб иш ~е дуца нижее объясни нам это [дело]; гьеб масъала нижеца ~уна этот вопрос мы выяснили",б/áгьизаб,и,2,б/áгьизаб,б/áгьизаби,б/áгьизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,1,causative,б/áгь,verb,,,,,,,,,,,,,,,,,,,,,"обяснять, обяснить; выяснять, выяснить; разъяснять, рязъяснить; гьеб иш ~е дуца нижее объясни нам это [дело]; гьеб масъала нижеца ~уна этот вопрос мы выяснили",4,ERG,ABS,,,,,,"выяснять, выяснить",,Гимбатов М.М. Аварско-русский словарь. 2006.,обяснять,Gimbаtov 2006,,,,
"б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться разг.; прорываться, прорваться; прохудиться прост.; бакь ~ана произошло прободение кишечника: татавул ~ана оросительный канал прорвало; тІох ~ана крыша прохудилась; хьаг ~ана кастрюля прохудилась; хьитал рагьана обувь прохудилась 2) изнашиваться, износиться, проноситься до дыр; протираться, протереться до дыр; тІажу ~ана штаны протёрлись (до дыр) 3) обнаруживаться, обнаружиться, открываться, открыться что-л.; наталкиваться, натолкнуться на что-л.; гвенд бухъулаго некІсияб хабаде ~ана когда копали яму, наткнулись на древнее захоронение 4) обясняться, обясниться; выясняться, выясниться; разъясняться, рязъясниться; доходить до кого-л.; гьеб ишалъул хІакъикъат гьанже дие ~ана теперь мне открылась (т. е. стала ясна) сущность этого дела; ахирги дов вагьана гьелде наконец дошло до него",б/áгь,и,1,б/áгь,б/áгьи,б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгьизаб,б/агь-б/áгь,,,,,,,,,,,,,,,,,,"продырявливаться, продырявиться разг.; прорываться, прорваться; прохудиться прост.; бакь ~ана произошло прободение кишечника: татавул ~ана оросительный канал прорвало; тІох ~ана крыша прохудилась; хьаг ~ана кастрюля прохудилась; хьитал рагьана обувь прохудилась",1,ABS,N/A,,,,,,"прорываться, прорваться",,Гимбатов М.М. Аварско-русский словарь. 2006.,продырявливаться,Gimbаtov 2006,,,,
"б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться разг.; прорываться, прорваться; прохудиться прост.; бакь ~ана произошло прободение кишечника: татавул ~ана оросительный канал прорвало; тІох ~ана крыша прохудилась; хьаг ~ана кастрюля прохудилась; хьитал рагьана обувь прохудилась 2) изнашиваться, износиться, проноситься до дыр; протираться, протереться до дыр; тІажу ~ана штаны протёрлись (до дыр) 3) обнаруживаться, обнаружиться, открываться, открыться что-л.; наталкиваться, натолкнуться на что-л.; гвенд бухъулаго некІсияб хабаде ~ана когда копали яму, наткнулись на древнее захоронение 4) обясняться, обясниться; выясняться, выясниться; разъясняться, рязъясниться; доходить до кого-л.; гьеб ишалъул хІакъикъат гьанже дие ~ана теперь мне открылась (т. е. стала ясна) сущность этого дела; ахирги дов вагьана гьелде наконец дошло до него",б/áгь,и,1,б/áгь,б/áгьи,б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгьизаб,б/агь-б/áгь,,,,,,,,,,,,,,,,,,"изнашиваться, износиться, проноситься до дыр; протираться, протереться до дыр; тІажу ~ана штаны протёрлись (до дыр)",2,ABS,N/A,,,,,,"протираться, протереться до дыр",,Гимбатов М.М. Аварско-русский словарь. 2006.,изнашиваться,Gimbаtov 2006,,,,
"б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться разг.; прорываться, прорваться; прохудиться прост.; бакь ~ана произошло прободение кишечника: татавул ~ана оросительный канал прорвало; тІох ~ана крыша прохудилась; хьаг ~ана кастрюля прохудилась; хьитал рагьана обувь прохудилась 2) изнашиваться, износиться, проноситься до дыр; протираться, протереться до дыр; тІажу ~ана штаны протёрлись (до дыр) 3) обнаруживаться, обнаружиться, открываться, открыться что-л.; наталкиваться, натолкнуться на что-л.; гвенд бухъулаго некІсияб хабаде ~ана когда копали яму, наткнулись на древнее захоронение 4) обясняться, обясниться; выясняться, выясниться; разъясняться, рязъясниться; доходить до кого-л.; гьеб ишалъул хІакъикъат гьанже дие ~ана теперь мне открылась (т. е. стала ясна) сущность этого дела; ахирги дов вагьана гьелде наконец дошло до него",б/áгь,и,1,б/áгь,б/áгьи,б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгьизаб,б/агь-б/áгь,,,,,,,,,,,,,,,,,,"обнаруживаться, обнаружиться, открываться, открыться что-л.; наталкиваться, натолкнуться на что-л.; гвенд бухъулаго некІсияб хабаде ~ана когда копали яму, наткнулись на древнее захоронение",3,N/A,SUPERLAT,,,,,,"наталкиваться, натолкнуться на что-л.",,Гимбатов М.М. Аварско-русский словарь. 2006.,обнаруживаться,Gimbаtov 2006,,,,
"б/áгь/изе (-ула, -ила, -ана, -е) 1) продырявливаться, продырявиться разг.; прорываться, прорваться; прохудиться прост.; бакь ~ана произошло прободение кишечника: татавул ~ана оросительный канал прорвало; тІох ~ана крыша прохудилась; хьаг ~ана кастрюля прохудилась; хьитал рагьана обувь прохудилась 2) изнашиваться, износиться, проноситься до дыр; протираться, протереться до дыр; тІажу ~ана штаны протёрлись (до дыр) 3) обнаруживаться, обнаружиться, открываться, открыться что-л.; наталкиваться, натолкнуться на что-л.; гвенд бухъулаго некІсияб хабаде ~ана когда копали яму, наткнулись на древнее захоронение 4) обясняться, обясниться; выясняться, выясниться; разъясняться, рязъясниться; доходить до кого-л.; гьеб ишалъул хІакъикъат гьанже дие ~ана теперь мне открылась (т. е. стала ясна) сущность этого дела; ахирги дов вагьана гьелде наконец дошло до него",б/áгь,и,1,б/áгь,б/áгьи,б/áгьа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,1,,,,,б/áгьизаб,б/агь-б/áгь,,,,,,,,,,,,,,,,,,"обясняться, обясниться; выясняться, выясниться; разъясняться, рязъясниться; доходить до кого-л.; гьеб ишалъул хІакъикъат гьанже дие ~ана теперь мне открылась (т. е. стала ясна) сущность этого дела; ахирги дов вагьана гьелде наконец дошло до него",4,DAT,ABS,,,,,,"выясняться, выясниться",,Гимбатов М.М. Аварско-русский словарь. 2006.,обясняться,Gimbаtov 2006,,,,
"бáгьлъ/изе (-ула, -ила, -ана, -е) достигать, достигнуть двухгодовалого возраста (о баране, о козле)",бáгьлъ,и,1,бáгьлъ,бáгьлъи,бáгьлъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,,,,,,,,,,,,,,,,,,,,"достигать, достигнуть двухгодовалого возраста (о баране, о козле)",1,N/A,N/A,,,,,,,,,достигнуть двухгодовалого возраста,Gimbаtov 2006,,,,
